"true_N","true_ICC","true_AR1","true_event_rate","signal_mode","n_events","actual_event_rate","regen","empirical_icc","empirical_ar1","naive_mean","naive_sd","s10_mean","s10_sd","s5_mean","loco_auroc","true_auroc","optimism_naive_true","resid_s10_true","resid_s5_true","resid_loco_true","optimism_naive_loco","dev_s10_loco","fit_status","folds_ok","flagged","naive_reps_valid","s10_reps_valid","s5_reps_valid","loco_valid"
20,0.1,0.5,0.2,"baseline",4,0.2,0,0.15565348801164,0.433700565447992,0.803125,0.0235241453971588,0.625,0.0931694990624912,0.5921875,0.671875,0.541579959982763,0.261545040017237,0.0834200400172372,0.0506075400172372,0.130295040017237,0.13125,-0.046875,"ok",TRUE,FALSE,10,10,10,TRUE
20,0.1,0.5,0.2,"controlled",3,0.15,0,0.15565348801164,0.433700565447992,0.764705882352941,0,0.727450980392157,0.0609282153538375,0.625490196078431,0.745098039215686,0.548163296268435,0.216542586084506,0.179287684123722,0.0773268998099964,0.196934742947251,0.0196078431372548,-0.0176470588235295,"ok",TRUE,FALSE,10,10,10,TRUE
20,0.1,0.5,0.2,"baseline",5,0.25,1,0.1421287258901,0.479876181124839,0.688,0.0190645427462464,0.737333333333333,0.0392774241693968,0.718666666666667,0.746666666666667,0.485777990125816,0.202222009874184,0.251555343207517,0.23288867654085,0.26088867654085,-0.0586666666666666,-0.0093333333333333,"ok",TRUE,FALSE,10,10,10,TRUE
20,0.1,0.5,0.2,"controlled",5,0.25,1,0.1421287258901,0.479876181124839,0.688,0.0190645427462464,0.737333333333333,0.0392774241693968,0.718666666666667,0.746666666666667,0.526515054616152,0.161484945383848,0.210818278717181,0.192151612050515,0.220151612050515,-0.0586666666666666,-0.0093333333333333,"ok",TRUE,FALSE,10,10,10,TRUE
20,0.1,0.5,0.2,"baseline",5,0.25,1,0.0928234001908236,0.459039845184689,0.765333333333333,0.0417872329725979,0.753333333333333,0.0458661498678896,0.713333333333333,0.826666666666667,0.545284755348352,0.220048577984981,0.208048577984981,0.168048577984981,0.281381911318314,-0.0613333333333334,-0.0733333333333334,"ok",TRUE,FALSE,10,10,10,TRUE
20,0.1,0.5,0.2,"controlled",4,0.2,1,0.0928234001908236,0.459039845184689,0.728125,0.0296463530640786,0.95625,0.0335927406179106,0.9421875,1,0.554615460992677,0.173509539007323,0.401634539007323,0.387572039007323,0.445384539007323,-0.271875,-0.04375,"ok",TRUE,FALSE,10,10,10,TRUE
20,0.1,0.5,0.2,"baseline",4,0.2,0,0.137384165981492,0.439964779475132,0.896875,0.00806871530459878,0.5546875,0.106548294507702,0.5703125,0.609375,0.522009788354847,0.374865211645153,0.0326777116451534,0.0483027116451534,0.0873652116451534,0.2875,-0.0546875,"ok",TRUE,FALSE,10,10,10,TRUE
20,0.1,0.5,0.2,"controlled",4,0.2,0,0.137384165981492,0.439964779475132,0.896875,0.00806871530459878,0.5546875,0.106548294507702,0.5703125,0.609375,0.489415521233619,0.407459478766381,0.0652719787663809,0.0808969787663809,0.119959478766381,0.2875,-0.0546875,"ok",TRUE,FALSE,10,10,10,TRUE
20,0.1,0.5,0.2,"baseline",6,0.3,0,0.160273627453642,0.463950718907775,0.816666666666667,0.0127972345211088,0.538095238095238,0.0358463167956705,0.535714285714286,0.547619047619048,0.53956802294318,0.277098643723487,-0.00147278484794167,-0.00385373722889404,0.00805102467586782,0.269047619047619,-0.00952380952380949,"ok",TRUE,FALSE,10,10,10,TRUE
20,0.1,0.5,0.2,"controlled",5,0.25,0,0.160273627453642,0.463950718907775,0.893333333333333,0,0.501333333333333,0.042257295374239,0.524,0.44,0.591346529286656,0.301986804046677,-0.0900131959533227,-0.067346529286656,-0.151346529286656,0.453333333333333,0.0613333333333333,"ok",TRUE,FALSE,10,10,10,TRUE
20,0.1,0.5,0.2,"baseline",3,0.15,0,0.140515888437674,0.457716935062059,0.837254901960784,0.0161426000460503,0.856862745098039,0.0278065978904348,0.847058823529412,0.901960784313726,0.522784244260647,0.314470657700137,0.334078500837392,0.324274579268765,0.379176540053079,-0.0647058823529413,-0.0450980392156862,"ok",TRUE,FALSE,10,10,10,TRUE
20,0.1,0.5,0.2,"controlled",3,0.15,0,0.140515888437674,0.457716935062059,0.837254901960784,0.0161426000460503,0.856862745098039,0.0278065978904348,0.847058823529412,0.901960784313726,0.551061866867845,0.286193035092939,0.305800878230194,0.295996956661567,0.350898917445881,-0.0647058823529413,-0.0450980392156862,"ok",TRUE,FALSE,10,10,10,TRUE
20,0.1,0.5,0.2,"baseline",4,0.2,0,0.157302614263612,0.443377225837065,0.8859375,0.007547592055307,0.5671875,0.0683265049941984,0.5703125,0.609375,0.531924837009583,0.354012662990417,0.0352626629904171,0.0383876629904172,0.0774501629904172,0.2765625,-0.0421875,"ok",TRUE,FALSE,10,10,10,TRUE
20,0.1,0.5,0.2,"controlled",4,0.2,0,0.157302614263612,0.443377225837065,0.8859375,0.007547592055307,0.5671875,0.0683265049941984,0.5703125,0.609375,0.563360944930204,0.322576555069796,0.0038265550697959,0.00695155506979594,0.0460140550697959,0.2765625,-0.0421875,"ok",TRUE,FALSE,10,10,10,TRUE
20,0.1,0.5,0.2,"baseline",5,0.25,1,0.102058266630077,0.443463478991091,0.785333333333333,0.0247056748616663,0.802666666666667,0.0286658053272837,0.784,0.88,0.495152823005459,0.290180510327874,0.307513843661207,0.288847176994541,0.384847176994541,-0.0946666666666667,-0.0773333333333334,"ok",TRUE,FALSE,10,10,10,TRUE
20,0.1,0.5,0.2,"controlled",5,0.25,1,0.102058266630077,0.443463478991091,0.785333333333333,0.0247056748616663,0.802666666666667,0.0286658053272837,0.784,0.88,0.480967264109021,0.304366069224312,0.321699402557646,0.303032735890979,0.399032735890979,-0.0946666666666667,-0.0773333333333334,"ok",TRUE,FALSE,10,10,10,TRUE
20,0.1,0.5,0.2,"baseline",7,0.35,0,0.126468064594659,0.462937897399755,0.857142857142857,0.0103605389184842,0.67032967032967,0.0310816167554526,0.659340659340659,0.659340659340659,0.491571259468589,0.365571597674268,0.178758410861081,0.16776939987207,0.16776939987207,0.197802197802198,0.0109890109890111,"ok",TRUE,FALSE,10,10,10,TRUE
20,0.1,0.5,0.2,"controlled",7,0.35,0,0.126468064594659,0.462937897399755,0.857142857142857,0.0103605389184842,0.67032967032967,0.0310816167554526,0.659340659340659,0.659340659340659,0.495946437555633,0.361196419587224,0.174383232774037,0.163394221785026,0.163394221785026,0.197802197802198,0.0109890109890111,"ok",TRUE,FALSE,10,10,10,TRUE
20,0.1,0.5,0.2,"baseline",4,0.2,0,0.108285511368619,0.432266318809141,0.725,0.00806871530459878,0.7328125,0.0270131301664374,0.7125,0.75,0.528480476590948,0.196519523409052,0.204332023409052,0.184019523409052,0.221519523409052,-0.025,-0.0171875,"ok",TRUE,FALSE,10,10,10,TRUE
20,0.1,0.5,0.2,"controlled",4,0.2,0,0.108285511368619,0.432266318809141,0.725,0.00806871530459878,0.7328125,0.0270131301664374,0.7125,0.75,0.539546622398461,0.185453377601539,0.193265877601539,0.172953377601539,0.210453377601539,-0.025,-0.0171875,"ok",TRUE,FALSE,10,10,10,TRUE
20,0.1,0.5,0.2,"baseline",4,0.2,0,0.12697612027246,0.448997939138211,0.8546875,0.0128636344116963,0.6546875,0.0468460558786851,0.615625,0.71875,0.525473952374029,0.329213547625971,0.129213547625971,0.0901510476259711,0.193276047625971,0.1359375,-0.0640625,"ok",TRUE,FALSE,10,10,10,TRUE
20,0.1,0.5,0.2,"controlled",4,0.2,0,0.12697612027246,0.448997939138211,0.8546875,0.0128636344116963,0.6546875,0.0468460558786851,0.615625,0.71875,0.507848162529011,0.346839337470989,0.146839337470989,0.107776837470989,0.210901837470989,0.1359375,-0.0640625,"ok",TRUE,FALSE,10,10,10,TRUE
20,0.1,0.5,0.2,"baseline",6,0.3,1,0.131870098677777,0.440645895903666,0.988095238095238,0,0.898809523809524,0.0292952838496694,0.9,0.892857142857143,0.535687207030784,0.452408031064454,0.36312231677874,0.364312792969216,0.357169935826359,0.0952380952380952,0.00595238095238093,"ok",TRUE,FALSE,10,10,10,TRUE
20,0.1,0.5,0.2,"controlled",6,0.3,1,0.131870098677777,0.440645895903666,0.988095238095238,0,0.898809523809524,0.0292952838496694,0.9,0.892857142857143,0.574275078338883,0.413820159756355,0.324534445470641,0.325724921661117,0.31858206451826,0.0952380952380952,0.00595238095238093,"ok",TRUE,FALSE,10,10,10,TRUE
20,0.1,0.5,0.2,"baseline",3,0.15,0,0.121188373942021,0.449558500409346,0.703921568627451,0.0144679370073063,0.643137254901961,0.149271659331976,0.586274509803922,0.725490196078431,0.510851282051282,0.193070286576169,0.132285972850679,0.0754232277526395,0.214638914027149,-0.0215686274509804,-0.0823529411764706,"ok",TRUE,FALSE,10,10,10,TRUE
20,0.1,0.5,0.2,"controlled",3,0.15,0,0.121188373942021,0.449558500409346,0.703921568627451,0.0144679370073063,0.643137254901961,0.149271659331976,0.586274509803922,0.725490196078431,0.521699072309061,0.18222249631839,0.1214381825929,0.0645754374948607,0.20379112376937,-0.0215686274509804,-0.0823529411764706,"ok",TRUE,FALSE,10,10,10,TRUE
20,0.1,0.5,0.2,"baseline",4,0.2,0,0.0740285141071325,0.441506550258982,0.8171875,0.0105460712142274,0.5984375,0.0633835121940679,0.6109375,0.515625,0.515324432444681,0.301863067555319,0.0831130675553193,0.0956130675553194,0.000300567555319375,0.3015625,0.0828125,"ok",TRUE,FALSE,10,10,10,TRUE
20,0.1,0.5,0.2,"controlled",3,0.15,0,0.0740285141071325,0.441506550258982,0.719607843137255,0.037030628690759,0.552941176470588,0.0460308937559713,0.586274509803922,0.529411764705882,0.550613586988433,0.168994256148822,0.00232758948215539,0.0356609228154887,-0.0212018222825505,0.190196078431373,0.0235294117647059,"ok",TRUE,FALSE,10,10,10,TRUE
